Country name,Access to electricity (% of population),"GDP per capita, PPP (current international $)",Population ages 0-14 (% of total population),"School enrollment, tertiary (% gross)","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",CO2 emissions (kt)
Latin America & Caribbean (excluding high income),98.12087083,16854.64891,23.5761861,54.24708176,17.47894326,1242200.06
Lao PDR,100,8658.809039,31.01673623,12.45850277,20.54733513,19178.9
Lebanon,100,14330.51563,27.61837854,58.44414139,28.96029994,21474.9
Liberia,29.84824371,1570.47438,41.01249939,,50.59973692,1179.5
Libya,70.21047974,22371.38078,28.85624452,,38.59119845,44467
St. Lucia,100,14395.67763,18.29375207,,21.22131742,499.2
Latin America & Caribbean,98.25931565,17655.43872,23.55389778,56.47755814,17.7161525,1438080.03
Least developed countries: UN classification,56.21916337,3356.69133,38.98777941,10.69029999,43.18532637,351230.476
Low income,44.80975502,2078.169645,42.06291261,,40.5075738,179664.936
Liechtenstein,100,,14.54808591,47.3196907,,141.996093
Sri Lanka,100,14621.51634,23.21465687,21.36296654,19.96439581,21846.3
Lower middle income,91.1284907,7575.392673,29.91198457,25.91570091,62.55557781,4819595.8
Low & middle income,89.80147971,12001.323,27.22362693,35.83140182,48.29563451,21383256.24
Lesotho,50.37747192,2470.979775,34.09859807,,27.52281327,2311.9
Late-demographic dividend,99.41329348,20714.32945,18.69982971,62.12218857,36.71557177,15488347.62
Lithuania,100,46410.06764,15.18263593,71.90931702,10.37350411,11693.8
Luxembourg,100,137947.3439,15.9137585,20.73414993,10.06890585,7853.1
Latvia,100,36777.89285,15.6263958,93.4839325,12.01165835,6928.3
"Macao SAR, China",100,73734.08161,14.61359992,103.1477585,,
St. Martin (French part),100,,22.43994053,,,
Morocco,100,8900.478516,26.85253141,42.82289124,35.05284088,66719.5
Monaco,100,,12.80597503,,11.66888949,
Moldova,100,15121.72433,19.80601707,61.30234146,13.74739724,8611.2
Madagascar,35.12093353,1635.740148,39.39797485,5.582106113,17.8593854,2745.45
Maldives,100,20698.4259,21.71816495,,10.94405416,1454
Middle East & North Africa,97.29014544,17718.88501,30.06608913,40.91083908,46.60359078,2416064.9
Mexico,100,21123.67183,24.95313489,45.65061951,20.12401203,383131.4
Marshall Islands,99.75357819,6594.299535,33.18311534,,9.044039796,110
Middle income,94.99898721,13154.09598,25.50988772,39.54766083,49.16294284,21203591.31
North Macedonia,100,19902.81983,16.06578616,40.54917145,30.26931856,6796.7
Mali,53.38018799,2340.019199,47.39357935,,60.62414043,4150.7
Malta,100,53387.23784,13.13445898,73.02269745,12.9910498,1610.7
Myanmar,72.46681976,4539.509365,24.88185987,,29.43314277,33874.6
Middle East & North Africa (excluding high income),96.84853075,11633.32815,31.05050112,38.62760162,45.60940217,1370939
Montenegro,99.7984314,24511.26207,18.1815648,56.82814026,21.25685256,2527.2
Mongolia,100,12875.62538,32.43118393,64.45913696,38.05757134,21184.7
Northern Mariana Islands,100,,21.69901883,,8.151978907,
Mozambique,31.49403954,1359.310603,43.68464335,,20.77406654,6945.5
Mauritania,47.69584274,5674.292432,42.00967329,,66.8117824,3847.1
Mauritius,99.6,23079.06746,16.63770017,43.95907974,14.91383169,3720.2
Malawi,14.1884222,1645.403715,43.15560503,2.411386967,22.34665143,1640
Malaysia,100,29139.3705,22.96158648,40.91426086,16.59099631,245139.3
North America,100,68716.80894,17.98339827,84.15824127,7.605692729,4837406.2
Namibia,55.22531891,10161.28658,36.20596878,,24.19978552,3952.8
New Caledonia,100,,22.48245309,,,
Niger,18.6,1309.286286,48.90464085,,80.10926696,2197.95
Nigeria,59.5,5431.919211,43.2860354,,70.39625682,111978.1
Nicaragua,86.29147339,6280.922846,30.07789167,19.89958191,20.43900913,4582.2
Netherlands,100,67693.32643,15.50266373,88.95426178,12.0392862,130315.1
Norway,100,86891.99649,16.96631385,93.92430115,6.642383374,36177.4
Nepal,89.9,4252.375175,29.39183315,14.38410282,83.10319363,14949.2
Nauru,100,12126.58875,38.84026695,,5.857163356,41.4
New Zealand,100,48555.55234,18.89064283,79.41288757,6.048305496,31359.7
OECD members,99.99996648,50608.91719,17.43701701,78.64614105,13.82868029,10570775.72
Oman,100,37842.83976,26.76956671,43.8433609,44.57247023,71041.5
Other small states,79.43171379,24144.82173,30.02059963,21.42406082,35.68130759,181678.207
Pakistan,94.92285919,5774.903888,36.94010055,12.59835911,62.57424987,184111.2
Panama,95.25108255,33563.66063,26.40821627,53.04459,13.20059479,9582.7
Peru,95.6,13830.57026,26.33007372,,30.82669477,46578.9
Philippines,97.48997498,8933.133766,30.63678215,34.8905983,18.82613108,133471.3
Palau,100,15572.7393,20.96371505,,6.873805482,158.2
Papua New Guinea,20.91660118,4014.285466,34.58274071,,16.2311858,5491.5
Poland,100,40462.68871,15.36929411,70.9335022,22.6420051,279223.8
Pre-demographic dividend,50.5270527,3687.968318,43.3137225,8.776049614,47.04563196,469494.036
Puerto Rico,100,36156.64661,13.65017648,,6.85168132,
"Korea, Dem. People's Rep.",52.63056183,,18.94828755,,44.32957478,52437.2
Portugal,100,38783.01156,13.34329695,71.8742981,8.254802244,38973.5
Paraguay,100,15091.3251,29.02091038,,12.51891553,7575.7
West Bank and Gaza,100,6224.656776,39.13748453,43.51065063,31.30254529,
Pacific island small states,85.86980688,6521.494528,34.54435222,,11.50018691,2178
Post-demographic dividend,99.99876806,55651.08534,15.6710412,80.69602203,11.54759255,9555830.37
French Polynesia,100,,21.70922798,,,
Qatar,100,102506.1263,15.76895249,31.28140068,76.04929303,87578.3
Romania,100,37971.05455,16.02678109,55.26560974,15.67108952,68664
Russia,100,33185.66797,17.71960774,,11.59553193,1618271
Rwanda,48.70043564,2469.002988,38.88916395,6.996964455,36.18491574,1382
South Asia,98.76807243,7019.985325,27.52620141,26.36730003,77.56340034,2518434.77
Saudi Arabia,100,51607.01136,26.18048352,,61.50824107,513555.8
Sudan,61.76771927,4083.975098,41.08585477,,54.67729786,20796.1
Senegal,67.9753418,3874.945158,41.76054056,15.73433018,60.21139678,10680.2
Singapore,100,118887.8221,11.99312816,97.09890747,18.76588248,43705
Solomon Islands,76.34752655,2645.34556,39.33730404,,12.89495904,223.3
Sierra Leone,27.49404907,1781.930343,39.38982792,,51.09606544,1048
El Salvador,97.89,10140.97276,25.76153547,,22.32472418,6376.3
San Marino,100,67982.97051,13.10100606,56.70391083,9.906728131,
Somalia,49.3240242,1609.093512,47.25224415,,30.36142727,660.4
Serbia,100,22575.4211,14.26859027,68.740448,25.35417205,46324.3
Sub-Saharan Africa (excluding high income),50.57733062,4095.762119,42.0656274,9.398550034,44.03753965,760269.413
South Sudan,7.74776268,,44.71371097,,37.55277786,1742.7
Sub-Saharan Africa,50.58148381,4098.007476,42.06403828,9.398929596,44.03506117,760868.113
Small states,83.22921726,21903.09395,28.8566341,21.50596046,31.18946596,216633.197
Sao Tome and Principe,78.45111084,3864.790929,40.03765001,,31.05885758,141.1
Suriname,98.82325745,16343.58433,26.48166471,8.801739693,21.17742119,2601.32
Slovak Republic,100,37794.99988,15.88106701,50.73424911,18.36521464,29035.8
Slovenia,100,46502.09789,15.18842866,82.24004364,16.96940443,12477.3
Sweden,100,63375.04465,17.71402806,85.94261932,5.647572855,33576.1
Eswatini,82.90317535,10026.79524,35.02907477,,23.34521196,1147.7
Sint Maarten (Dutch part),100,42329.24046,11.70814223,,,
Seychelles,100,30817.79244,23.15524018,15.47105026,15.5639189,598.7
Syrian Arab Republic,88.82453156,,33.02347263,,30.95362503,25234.6
Turks and Caicos Islands,100,21808.24563,16.74535621,,,
Chad,11.2685585,1572.973628,47.65942034,,59.2825236,1568.4
East Asia & Pacific (IDA & IBRD countries),98.52349263,17202.85026,20.0988083,54.96469116,39.05375603,12608302.4
Europe & Central Asia (IDA & IBRD countries),99.9751684,27251.66753,20.530168,78.39060211,19.79813866,3194229.5
Togo,55.74011612,2351.313774,40.24841903,,46.21037553,2415.1
Thailand,100,18855.02327,15.80037671,49.66929626,27.40271356,265478.9
Tajikistan,99.56546783,4315.032204,36.41269944,,38.31858602,9328.8
Turkmenistan,100,,31.21669448,16.41584015,26.19766251,63655
Latin America & the Caribbean (IDA & IBRD countries),98.21630993,17577.91134,23.75209199,56.41851044,17.77231191,1410200.16
Timor-Leste,100,5560.243896,35.29409315,,15.65130893,446.1
